neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Chinatown,94108,House,Shared room,1,2.5,1,1,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,730,15,1,8/7/12,8/18/19,95,9,8,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Condominium,Private room,1,1,1,1,Real Bed,$125.00,"$1,026.00","$3,787.00",$0.00,$0.00,1,$50.00,1,1125,569,101,5/27/11,10/12/19,97,10,10,10,10,10,10,strict_14_with_grace_period
North Beach,94133,Condominium,Entire home/apt,4,1,1,2,Real Bed,$125.00,"$1,000.00","$3,200.00","$1,000.00",$135.00,2,$15.00,30,30,9,5,6/10/11,9/30/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Western Addition,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$200.00,,,$200.00,$150.00,2,$75.00,30,365,36,0,5/2/12,7/9/17,99,10,10,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,5,1,3,3,Real Bed,$150.00,"$2,500.00","$5,950.00",$550.00,$125.00,5,$0.00,30,151,82,2,9/18/11,8/24/19,97,10,10,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,3,1,1,2,Real Bed,$328.00,"$2,100.00",,$700.00,$120.00,2,$100.00,3,15,151,14,6/12/11,9/23/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,4,1,1,Real Bed,$65.00,$485.00,"$1,685.00",$200.00,$50.00,1,$12.00,32,90,11,1,7/17/12,8/17/19,87,8,7,10,9,10,8,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$97.00,$700.00,"$2,600.00",,$100.00,2,$20.00,30,90,86,6,6/12/11,9/7/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,House,Private room,2,1,1,1,Real Bed,$69.00,$560.00,,,$45.00,1,$0.00,1,10,125,29,6/19/11,9/27/19,96,10,10,10,10,10,10,moderate
Marina,94123,Condominium,Entire home/apt,4,1,2,2,Real Bed,$300.00,"$2,700.00","$8,800.00",$500.00,$130.00,4,$100.00,4,14,72,4,7/9/11,9/12/19,97,9,9,10,10,10,9,moderate
Inner Richmond,94121,House,Entire home/apt,6,1.5,3,3,Real Bed,$550.00,"$2,675.00",,"$1,000.00",$200.00,6,$100.00,4,30,18,0,6/19/11,7/31/16,94,10,9,9,10,9,9,strict_14_with_grace_period
Inner Richmond,94118,House,Entire home/apt,10,3.5,4,5,Real Bed,$594.00,"$3,500.00","$12,000.00","$2,000.00",$0.00,1,$0.00,7,28,0,0,,,,,,,,,,strict_14_with_grace_period
Bernal Heights,94110,House,Private room,2,1,1,1,Real Bed,$102.00,,"$1,850.00",$200.00,$70.00,2,$200.00,30,180,233,30,3/18/12,9/29/19,97,10,10,10,10,10,10,flexible
Inner Sunset,94122,Apartment,Entire home/apt,2,1.5,1,1,Futon,$150.00,$800.00,,$200.00,$35.00,1,$50.00,30,30,14,0,7/3/11,11/25/13,96,10,10,10,10,10,10,flexible
Noe Valley,94110,House,Entire home/apt,8,2,4,5,Real Bed,"$1,200.00",,,"$2,000.00",$250.00,6,$75.00,6,1125,27,3,9/5/11,8/25/19,98,10,10,10,10,10,9,strict_14_with_grace_period
North Beach,94133,Apartment,Entire home/apt,3,1,1,1,Real Bed,$150.00,"$1,500.00",,$500.00,$100.00,2,$50.00,30,30,67,21,6/30/11,6/10/19,93,10,9,10,10,10,10,flexible
Castro/Upper Market,94114,House,Private room,2,1,1,1,Real Bed,$150.00,"$1,200.00","$2,000.00",,$50.00,2,$25.00,5,365,64,10,7/11/11,7/12/19,99,10,10,10,10,10,10,flexible
Bernal Heights,94110,Apartment,Private room,2,1.5,1,1,Real Bed,$90.00,$650.00,,$300.00,$35.00,1,$10.00,2,7,151,6,7/14/11,9/4/19,97,10,10,10,10,10,10,moderate
Outer Richmond,94121,Condominium,Entire home/apt,4,1,2,2,Real Bed,$399.00,,,$250.00,$150.00,4,$25.00,4,25,186,13,10/21/11,9/17/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Private room,1,,1,1,Real Bed,$56.00,,,$0.00,$70.00,1,$0.00,30,365,119,3,7/10/11,9/30/19,94,10,9,10,10,10,9,moderate
Diamond Heights,94131,Apartment,Entire home/apt,4,1.5,2,4,Real Bed,$230.00,"$1,550.00","$4,250.00",$200.00,$195.00,4,$15.00,30,90,108,2,7/2/11,3/28/19,92,10,9,10,10,9,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,6,1,2,4,Real Bed,$275.00,"$1,900.00",,$500.00,$150.00,1,$0.00,5,21,19,0,7/26/11,7/30/18,99,10,9,10,10,10,10,flexible
Marina,94123,Apartment,Entire home/apt,2,1,1,1,Real Bed,$165.00,$990.00,,$200.00,$75.00,2,$10.00,60,120,109,0,11/20/11,5/5/18,85,9,9,9,9,9,9,strict_14_with_grace_period
Twin Peaks,94131,Apartment,Entire home/apt,2,1,1,2,Real Bed,$115.00,$770.00,,$200.00,$75.00,2,$15.00,30,30,90,41,10/29/15,10/1/19,82,8,8,9,9,9,8,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$148.00,"$1,350.00","$4,800.00",$200.00,$100.00,4,$20.00,30,365,119,3,7/17/11,9/27/19,94,9,9,10,9,9,9,strict_14_with_grace_period
Potrero Hill,94107,Townhouse,Private room,2,1,1,1,Real Bed,$75.00,,,$200.00,$30.00,1,$0.00,3,5,224,27,9/6/11,9/24/19,99,10,10,10,10,10,10,strict_14_with_grace_period
Outer Richmond,94121,Apartment,Entire home/apt,2,1,1,1,Real Bed,$149.00,,,,$110.00,1,$10.00,1,360,236,42,7/16/11,9/30/19,95,10,10,10,10,10,10,strict_14_with_grace_period
West of Twin Peaks,94127,House,Private room,2,1,1,1,Real Bed,$69.00,,,$250.00,$35.00,1,$19.00,5,26,355,37,7/14/11,10/8/19,97,10,10,10,10,10,10,moderate
Castro/Upper Market,94114,Guesthouse,Entire home/apt,4,1,1,2,Real Bed,$220.00,"$1,200.00","$4,500.00",$800.00,$80.00,2,$20.00,30,330,159,8,8/28/11,7/8/19,96,10,10,10,9,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,4,1,1,1,Real Bed,$185.00,"$1,200.00","$4,750.00","$1,000.00",$250.00,2,$20.00,30,180,155,5,8/21/11,9/29/19,97,10,10,10,10,10,10,moderate
Financial District,94104,Apartment,Entire home/apt,2,1,0,2,Real Bed,$110.00,,"$3,600.00",,$155.00,2,$50.00,30,1125,24,0,9/2/11,7/1/15,87,9,9,9,10,10,9,super_strict_30
Financial District,94104,Apartment,Entire home/apt,2,1,0,2,Real Bed,$135.00,,"$4,700.00",,$155.00,2,$50.00,30,1125,50,1,9/1/11,8/31/19,94,10,10,9,10,9,9,super_strict_30
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$37.00,,"$1,175.00",$150.00,$30.00,1,$15.00,30,1825,10,1,8/29/11,4/2/19,83,9,7,8,10,8,7,strict_14_with_grace_period
Chinatown,94133,Apartment,Entire home/apt,4,1,2,2,Real Bed,$135.00,"$1,200.00","$4,800.00",,$75.00,1,$0.00,30,1125,63,3,8/1/11,9/1/19,97,10,10,10,10,9,10,strict_14_with_grace_period
Glen Park,94131,Apartment,Entire home/apt,4,1,2,2,Real Bed,$220.00,"$1,365.00","$4,900.00",$500.00,$90.00,3,$50.00,3,28,234,41,5/29/12,10/11/19,97,10,10,10,10,10,10,moderate
Mission,94110,Apartment,Private room,1,2,1,1,Real Bed,$75.00,,"$1,500.00",$300.00,$85.00,1,$0.00,29,360,128,34,8/19/11,8/5/19,96,10,9,10,9,10,9,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Private room,2,1.5,1,1,Real Bed,$90.00,,,$300.00,$35.00,1,$10.00,2,7,170,10,8/16/11,9/4/19,98,10,10,10,10,10,10,moderate
Marina,94123,Apartment,Entire home/apt,2,1,1,1,Real Bed,$150.00,,"$3,000.00",$200.00,$90.00,1,$0.00,5,60,40,8,9/19/12,9/30/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,Guest suite,Entire home/apt,2,1,1,1,Pull-out Sofa,$138.00,,"$3,000.00",$200.00,$43.00,2,$0.00,2,14,469,80,8/15/11,10/9/19,97,10,10,10,10,10,10,moderate
Bernal Heights,94110,Apartment,Private room,1,1.5,1,1,Real Bed,$80.00,,,$0.00,$20.00,1,$20.00,6,50,198,18,8/24/11,9/22/19,99,10,10,10,10,10,10,moderate
North Beach,94111,Condominium,Entire home/apt,2,1,1,1,Real Bed,$182.00,,,,$225.00,1,$0.00,30,730,2,0,5/17/18,8/22/18,100,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94117,Apartment,Entire home/apt,4,1.5,1,2,Real Bed,$136.00,"$1,595.00","$4,875.00","$1,000.00",$99.00,4,$200.00,30,360,213,2,9/1/11,5/18/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Chinatown,94108,House,Shared room,1,2.5,1,1,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,730,9,0,9/2/13,9/5/18,100,10,9,10,10,10,10,strict_14_with_grace_period
Chinatown,94108,House,Shared room,1,2.5,1,1,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,365,6,1,12/25/11,5/11/19,97,8,9,9,10,10,10,strict_14_with_grace_period
Chinatown,94108,House,Shared room,1,2.5,1,1,Real Bed,$30.00,,$880.00,$300.00,,1,$0.00,30,365,3,0,12/23/13,6/30/17,80,8,8,10,9,10,8,strict_14_with_grace_period
Noe Valley,94131,House,Entire home/apt,8,1,3,5,Real Bed,$295.00,"$2,200.00","$8,000.00",$300.00,$132.00,6,$25.00,2,90,374,61,9/19/11,9/29/19,96,10,9,10,10,10,10,strict_14_with_grace_period
Outer Richmond,94121,Apartment,Private room,1,2.5,1,1,Real Bed,$79.00,$850.00,"$2,570.00",$250.00,$99.00,1,$30.00,30,90,28,0,6/27/12,9/10/18,96,10,9,10,10,9,9,flexible
Russian Hill,94133,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$165.00,,,$200.00,$60.00,2,$30.00,3,14,468,57,9/26/11,10/6/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,2,2,1,1,Real Bed,$92.00,,,$200.00,$30.00,1,$7.00,1,5,463,97,9/11/11,10/13/19,93,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94110,Condominium,Entire home/apt,4,2,2,1,Real Bed,$178.00,,,"$2,000.00",$250.00,1,$0.00,5,90,11,11,11/17/18,4/29/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,4,2,1,2,Real Bed,$98.00,,,$200.00,$30.00,2,$30.00,1,5,430,96,9/13/11,10/13/19,91,10,9,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,2,2,1,1,Real Bed,$78.00,,,$200.00,$30.00,1,$7.00,1,5,476,103,9/17/11,10/12/19,89,9,9,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,6,2,3,3,Real Bed,$325.00,"$1,824.00","$5,200.00","$1,000.00",$200.00,4,$25.00,30,180,38,6,11/13/11,6/24/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,House,Entire home/apt,2,1,1,1,Real Bed,$147.00,$964.00,,$500.00,$85.00,1,$0.00,5,14,49,0,9/13/11,10/9/18,99,10,10,10,10,10,10,moderate
Outer Mission,94112,House,Private room,2,2,1,2,Real Bed,$75.00,,,$100.00,$25.00,1,$25.00,2,30,90,90,4/21/19,10/11/19,91,9,8,10,10,8,9,flexible
Haight Ashbury,94117,Apartment,Entire home/apt,4,1,0,3,Real Bed,$110.00,"$1,000.00","$3,300.00",$400.00,$100.00,2,$5.00,30,365,44,3,10/8/11,8/17/19,94,9,8,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,House,Private room,2,2,1,1,Real Bed,$78.00,,,$200.00,$30.00,1,$7.00,1,5,423,78,9/17/11,10/9/19,89,10,9,10,10,10,9,strict_14_with_grace_period
Russian Hill,94133,Condominium,Private room,6,2.5,1,1,Real Bed,$139.00,,"$10,000.00",$0.00,$50.00,1,$50.00,2,30,200,39,9/17/11,10/7/19,95,10,10,10,10,10,9,moderate
Mission,94110,House,Entire home/apt,2,1,1,1,Real Bed,$145.00,"$1,200.00","$4,000.00",$500.00,$105.00,2,$20.00,2,1125,101,43,9/22/11,10/7/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,2,1,1,1,Real Bed,$99.00,$680.00,"$1,800.00",$150.00,$35.00,2,$0.00,3,5,191,18,12/7/11,9/3/19,96,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Apartment,Private room,2,0.5,1,1,Real Bed,$120.00,$590.00,"$2,100.00",,$25.00,1,$30.00,1,365,105,25,9/27/11,9/19/19,99,10,10,10,10,10,10,moderate
Financial District,94111,Hostel,Shared room,3,,1,3,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,358,56,9/27/11,9/27/19,93,10,9,10,10,10,9,flexible
Bernal Heights,94110,Apartment,Entire home/apt,4,1,1,1,Real Bed,$135.00,,"$4,200.00",$500.00,$125.00,2,$25.00,30,365,18,0,2/14/12,1/19/16,97,10,10,10,10,9,9,strict_14_with_grace_period
Nob Hill,94113,Townhouse,Entire home/apt,10,4,4,4,Real Bed,$989.00,,,$500.00,$300.00,8,$150.00,2,365,63,5,1/20/12,9/28/19,89,9,10,9,9,10,9,strict_14_with_grace_period
Noe Valley,94114,Apartment,Entire home/apt,4,1,1,2,Real Bed,$250.00,,"$6,800.00",$500.00,$250.00,2,$25.00,30,365,77,4,12/4/11,9/30/19,99,10,10,10,10,10,10,moderate
Inner Sunset,94122,Guest suite,Entire home/apt,2,1,1,2,Real Bed,$99.00,,"$3,120.00",$500.00,$75.00,2,$0.00,30,1125,113,0,2/2/12,9/25/17,98,10,10,10,10,10,9,strict_14_with_grace_period
Russian Hill,94133,Condominium,Private room,3,1,1,2,Real Bed,$99.00,,"$3,200.00",$0.00,$40.00,1,$50.00,2,30,216,38,10/17/11,10/5/19,96,10,10,10,10,10,10,moderate
Parkside,94116,Guest suite,Entire home/apt,4,1,1,1,Real Bed,$135.00,,,$300.00,$85.00,2,$25.00,3,29,203,30,10/20/11,10/1/19,95,10,10,10,10,10,10,strict_14_with_grace_period
Financial District,94111,Hostel,Shared room,4,0,1,4,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,316,29,10/16/11,9/28/19,94,9,9,10,10,10,9,flexible
South of Market,94103,Apartment,Entire home/apt,2,1,1,1,Real Bed,$160.00,"$1,000.00","$3,500.00",$500.00,$65.00,2,$30.00,3,30,62,12,4/14/13,9/2/19,97,10,10,10,10,9,10,strict_14_with_grace_period
Chinatown,94133,Apartment,Entire home/apt,4,1,2,2,Real Bed,$135.00,"$1,200.00","$4,400.00",,$75.00,1,$0.00,30,365,72,4,10/24/11,8/24/19,97,10,10,10,10,9,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Condominium,Entire home/apt,2,1,1,1,Real Bed,$136.00,"$1,000.00","$4,500.00",$500.00,$125.00,1,$0.00,30,365,8,0,2/9/14,9/16/18,90,10,9,9,9,8,8,strict_14_with_grace_period
Potrero Hill,94107,Condominium,Entire home/apt,5,1,3,3,Real Bed,$280.00,"$1,500.00",,$500.00,$100.00,4,$25.00,6,21,23,3,1/3/12,8/3/19,98,10,9,10,10,10,10,strict_14_with_grace_period
Castro/Upper Market,94114,Condominium,Private room,2,1,1,1,Real Bed,$139.00,"$1,160.00","$3,905.00",$0.00,$35.00,1,$20.00,1,10,592,71,11/15/11,10/8/19,98,10,10,10,10,10,10,moderate
Inner Richmond,94118,Guest suite,Private room,1,1,1,1,Real Bed,$100.00,$500.00,,$100.00,$40.00,1,$0.00,2,21,307,53,11/16/11,10/13/19,97,10,10,10,10,10,9,moderate
North Beach,94133,Apartment,Private room,2,1,1,1,Futon,$89.00,,,,,1,$0.00,2,365,365,80,9/14/12,10/7/19,88,9,8,10,10,10,9,moderate
Financial District,94111,Hostel,Shared room,1,,1,1,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,232,40,11/21/11,9/27/19,92,9,9,10,10,10,9,flexible
Financial District,94111,Hostel,Shared room,5,,1,5,Real Bed,$45.00,$329.00,,$0.00,$0.00,1,$45.00,1,14,211,26,2/16/12,9/21/19,94,10,10,10,10,10,10,flexible
Inner Sunset,94117,Apartment,Entire home/apt,2,1,1,2,Real Bed,$114.00,,,"$2,500.00",$99.00,1,$0.00,30,365,13,0,12/10/11,11/20/16,90,9,9,10,9,9,9,strict_14_with_grace_period
Downtown/Civic Center,94109,Condominium,Entire home/apt,2,1,0,1,Real Bed,$138.00,"$1,000.00","$3,400.00",$500.00,$100.00,1,$0.00,30,1125,1,0,11/23/11,11/23/11,80,10,10,8,10,6,6,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,2,1.5,1,1,Real Bed,$115.00,$645.00,"$2,075.00",$350.00,$50.00,1,$25.00,2,40,184,28,11/27/11,10/7/19,95,10,9,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$250.00,"$1,436.00",,"$5,000.00",$50.00,2,$100.00,2,30,122,11,11/20/11,9/30/19,95,10,9,10,10,10,9,strict_14_with_grace_period
South of Market,94103,Condominium,Entire home/apt,3,1,1,1,Real Bed,$133.00,"$1,323.00","$4,200.00",$150.00,$0.00,2,$15.00,30,365,102,4,12/22/11,8/24/19,98,10,10,10,10,9,9,moderate
Outer Sunset,94122,Apartment,Shared room,1,1.5,1,2,Real Bed,$35.00,,"$2,500.00",$0.00,$20.00,1,$0.00,30,90,134,0,10/1/12,9/24/16,91,9,9,10,10,9,9,strict_14_with_grace_period
Potrero Hill,94107,Condominium,Entire home/apt,4,2,2,2,Real Bed,$325.00,"$2,000.00","$4,800.00",$500.00,$150.00,4,$20.00,4,7,33,3,11/23/13,4/27/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Outer Sunset,94122,House,Private room,2,1,1,1,Real Bed,$89.00,,"$1,250.00",,,1,$7.00,3,365,75,17,1/7/12,9/26/19,95,10,10,10,10,9,9,strict
Mission,94103,Apartment,Private room,1,1,1,1,Airbed,$97.00,$650.00,,,$19.00,1,$0.00,2,14,54,11,8/17/12,9/28/19,97,10,9,10,10,10,10,strict_14_with_grace_period
Outer Mission,94112,Guest suite,Entire home/apt,3,1,1,2,Real Bed,$110.00,$840.00,"$3,528.00",$0.00,$75.00,1,$0.00,3,30,354,50,1/14/12,10/10/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,7,2,3,4,Real Bed,$575.00,,,$500.00,$200.00,4,$0.00,3,365,13,1,1/3/12,7/3/19,97,10,9,10,10,9,10,strict_14_with_grace_period
West of Twin Peaks,94127,House,Private room,4,1.5,3,3,Real Bed,$250.00,,,$0.00,$0.00,1,$0.00,1,1125,35,0,7/9/13,9/23/18,94,10,10,10,10,9,9,moderate
Noe Valley,94131,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$105.00,$775.00,,$200.00,$100.00,2,$0.00,30,60,209,11,2/26/12,1/23/19,95,10,10,10,10,10,10,moderate
Castro/Upper Market,94114,Condominium,Entire home/apt,4,2,2,2,Real Bed,$210.00,"$1,300.00","$5,455.00",,$250.00,1,$0.00,30,1125,3,1,8/31/14,9/14/19,100,10,10,10,10,10,8,flexible
Castro/Upper Market,94114,Condominium,Entire home/apt,8,2,3,4,Real Bed,$475.00,,,"$1,000.00",$300.00,6,$0.00,4,14,15,3,5/6/16,7/5/19,96,10,10,10,10,10,9,moderate
Outer Mission,94131,House,Entire home/apt,6,2,2,3,Real Bed,$300.00,"$2,700.00","$6,500.00",$600.00,$180.00,4,$60.00,3,28,66,7,3/12/12,7/19/19,98,10,9,10,10,10,9,strict_14_with_grace_period
Potrero Hill,94107,Apartment,Entire home/apt,2,1,1,1,Real Bed,$190.00,$980.00,"$4,000.00",,$70.00,2,$300.00,2,365,185,23,2/5/12,10/9/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$45.00,,"$1,125.00",$150.00,$35.00,1,$15.00,30,1125,18,0,1/31/12,8/5/17,82,8,8,9,9,8,8,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,4,1,1,1,Real Bed,$299.00,,,$500.00,$85.00,1,$0.00,2,365,161,48,2/11/12,10/9/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Excelsior,94112,House,Private room,1,1,1,1,Real Bed,$30.00,,$750.00,$150.00,$30.00,1,$30.00,30,1125,12,4,1/14/12,7/31/19,96,8,9,10,10,9,9,strict_14_with_grace_period
Noe Valley,94114,Apartment,Entire home/apt,2,1,1,1,Real Bed,$225.00,,,"$1,000.00",$100.00,1,$0.00,5,15,5,5,5/1/19,9/15/19,100,10,10,10,10,10,10,moderate
Noe Valley,94114,House,Entire home/apt,2,1,1,1,Real Bed,$159.00,$950.00,"$3,200.00",,$50.00,1,$20.00,7,29,60,11,5/21/12,9/29/19,97,10,10,10,10,10,9,moderate
North Beach,94133,Apartment,Entire home/apt,4,1,1,2,Real Bed,$125.00,,,$0.00,$75.00,1,$25.00,30,59,110,1,9/2/12,8/16/19,89,9,9,10,10,9,9,strict_14_with_grace_period
Pacific Heights,94115,House,Entire home/apt,6,2.5,3,4,Real Bed,$325.00,,,,,1,$50.00,7,365,42,7,11/3/13,7/28/19,97,10,9,10,10,10,9,strict_14_with_grace_period
North Beach,94133,Condominium,Entire home/apt,5,1,2,2,Real Bed,$600.00,,,$0.00,$75.00,2,$50.00,1,29,36,17,5/28/18,9/21/19,99,10,10,10,10,10,9,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,2,1,0,1,Real Bed,$90.00,$700.00,"$2,000.00",$400.00,$100.00,2,$20.00,30,365,28,3,3/22/12,7/31/19,94,10,9,10,10,10,10,strict_14_with_grace_period
Excelsior,94112,House,Private room,1,0.5,1,1,Airbed,$48.00,,,$100.00,$35.00,1,$25.00,2,25,76,26,4/25/12,10/6/19,97,10,9,10,10,9,10,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,4,1,2,2,Real Bed,$365.00,"$2,300.00","$8,000.00",$200.00,$120.00,4,$0.00,4,90,120,16,2/26/12,9/30/19,97,10,9,10,10,10,9,moderate
Western Addition,94115,Apartment,Entire home/apt,2,1,1,1,Real Bed,$139.00,"$1,175.00","$3,895.00",$350.00,$99.00,2,$0.00,30,180,34,0,6/1/12,8/7/15,94,9,9,10,10,10,9,strict_14_with_grace_period
South of Market,94107,Loft,Entire home/apt,2,1,1,1,Real Bed,$250.00,,,$400.00,$150.00,2,$0.00,30,120,6,0,3/10/12,10/5/17,100,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,6,1,3,3,Real Bed,$189.00,"$2,300.00","$5,900.00",$750.00,$125.00,3,$0.00,30,364,111,0,3/3/12,4/22/18,94,10,9,9,9,10,9,strict_14_with_grace_period
Mission,94107,House,Entire home/apt,2,1,1,1,Real Bed,$298.00,,,$350.00,$175.00,2,$100.00,3,364,67,20,2/11/12,10/13/19,99,10,10,10,10,10,10,moderate
Castro/Upper Market,94114,Cottage,Private room,1,1,1,1,Real Bed,$99.00,$690.00,"$2,699.00",$250.00,$50.00,1,$0.00,3,20,182,31,8/16/12,10/4/19,98,10,10,10,10,10,10,moderate
Marina,94123,Condominium,Private room,3,1,1,1,Real Bed,$165.00,,,"$1,000.00",$150.00,1,$40.00,60,365,127,1,3/24/12,2/4/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94115,Apartment,Private room,1,1,1,1,Real Bed,$99.00,$697.00,"$1,999.00",$295.00,$69.00,1,$0.00,30,120,3,0,9/15/13,10/16/14,100,10,10,10,10,10,10,strict_14_with_grace_period
Castro/Upper Market,94114,House,Entire home/apt,8,2,4,5,Real Bed,$595.00,"$2,795.00","$8,995.00",$500.00,$225.00,6,$50.00,4,90,19,4,4/5/15,8/20/19,100,10,10,10,10,10,10,strict_14_with_grace_period
Outer Mission,94112,House,Private room,2,1,1,1,Real Bed,$95.00,$800.00,"$2,700.00",$0.00,$50.00,2,$20.00,1,120,32,17,6/16/12,10/7/19,97,9,9,10,10,9,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,2,1,1,2,Real Bed,$119.00,$995.00,,$0.00,$75.00,1,$20.00,1,55,11,0,10/14/13,11/8/15,95,9,8,10,10,10,9,moderate
Bernal Heights,94110,Condominium,Entire home/apt,4,1,1,2,Real Bed,$160.00,$869.00,"$2,400.00",$400.00,$70.00,2,$35.00,2,30,33,4,3/30/12,7/7/19,94,9,8,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Guest suite,Entire home/apt,4,1,1,2,Real Bed,$190.00,"$1,250.00",,"$1,000.00",$90.00,2,$15.00,3,25,356,50,4/13/12,10/4/19,96,10,10,10,10,10,9,strict_14_with_grace_period
Mission,94110,House,Private room,1,1,1,1,Real Bed,$83.00,,"$1,600.00","$1,700.00",$60.00,1,$50.00,30,180,40,6,8/13/12,5/25/19,96,10,9,10,10,10,9,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,2,1,1,1,Real Bed,$125.00,,,$0.00,$40.00,1,$0.00,2,7,375,50,3/13/12,10/5/19,97,10,10,10,10,10,10,flexible
Excelsior,94112,House,Private room,2,1,1,2,Real Bed,$40.00,,"$1,100.00",$150.00,$35.00,1,$15.00,30,1125,20,2,4/22/12,3/9/19,69,7,7,8,8,7,7,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$45.00,,"$1,100.00",$150.00,$35.00,1,$15.00,30,1125,26,2,4/1/12,9/14/19,83,8,8,9,9,8,8,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,3,1,1,1,Real Bed,$115.00,,,$300.00,$80.00,1,$0.00,2,100,212,35,3/26/14,9/26/19,90,10,10,10,10,10,9,moderate
Western Addition,94117,Condominium,Private room,2,1,1,1,Real Bed,$90.00,$600.00,"$1,450.00",$500.00,$60.00,1,$40.00,4,180,13,5,5/19/12,9/15/19,100,10,8,10,10,10,10,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Entire home/apt,5,1,2,3,Real Bed,$270.00,,,"$1,000.00",$110.00,4,$35.00,30,365,175,0,4/29/12,1/4/17,96,10,10,10,10,10,9,strict_14_with_grace_period
Excelsior,94112,Apartment,Private room,2,1,1,1,Real Bed,$85.00,,,,,2,$25.00,30,1000,0,0,,,,,,,,,,moderate
Castro/Upper Market,94114,Apartment,Private room,2,1.5,1,1,Real Bed,$95.00,$750.00,,$0.00,$75.00,2,$0.00,2,30,94,32,6/19/12,10/12/19,96,10,9,10,10,10,10,strict_14_with_grace_period
