neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Western Addition,94117,House,Private room,2,3,1,1,Real Bed,$125.00,$600.00,"$1,950.00",$0.00,$30.00,1,$10.00,1,180,147,77,10/14/12,10/2/19,96,10,10,10,9,10,10,moderate
Ocean View,94127,House,Entire home/apt,2,1,2,1,Real Bed,$78.00,,"$2,250.00",$400.00,$150.00,2,$40.00,30,365,30,2,10/9/10,9/10/19,97,10,10,10,10,9,10,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Entire home/apt,2,1,1,1,Real Bed,$120.00,,"$3,960.00",$500.00,$160.00,2,$20.00,30,365,27,2,9/13/10,8/31/19,96,9,9,10,10,10,10,moderate
Inner Sunset,94117,Apartment,Entire home/apt,4,1,2,2,Real Bed,"$9,999.00",$850.00,,$300.00,$80.00,2,$15.00,365,365,8,0,9/22/10,11/13/12,100,10,10,10,10,9,10,strict_14_with_grace_period
Western Addition,94117,Apartment,Entire home/apt,2,1,1,1,Real Bed,$119.00,$958.00,"$3,990.00",$100.00,$175.00,2,$0.00,30,180,107,3,9/24/10,9/5/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Private room,1,0,1,1,Real Bed,$55.00,,"$1,475.00",$0.00,$50.00,1,$0.00,30,730,162,4,5/5/11,7/30/19,92,10,9,10,10,10,9,moderate
Bernal Heights,94110,House,Private room,2,1,1,1,Real Bed,$90.00,,,$100.00,$60.00,1,$0.00,3,30,142,24,10/13/10,10/2/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Downtown/Civic Center,94109,Apartment,Entire home/apt,4,1,2,2,Real Bed,$163.00,,"$6,000.00",$200.00,$0.00,1,$0.00,80,365,232,1,10/18/10,4/13/19,95,10,10,10,10,9,9,strict_14_with_grace_period
Financial District,94104,Condominium,Entire home/apt,2,1.5,1,1,Real Bed,$185.00,"$1,600.00","$4,300.00",$500.00,$120.00,1,$10.00,30,365,18,2,7/8/11,8/18/19,90,10,9,9,10,10,9,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Entire home/apt,2,1,1,1,Real Bed,$115.00,,"$3,180.00",$500.00,$160.00,2,$20.00,30,730,40,4,10/11/10,7/18/19,94,9,9,10,10,10,9,moderate
Outer Richmond,94121,Apartment,Entire home/apt,4,1,1,2,Real Bed,$112.00,,"$2,995.00","$1,000.00",$200.00,1,$0.00,30,365,10,0,1/18/11,5/21/17,94,10,10,10,10,9,10,strict_14_with_grace_period
Twin Peaks,94131,Apartment,Entire home/apt,4,1,1,2,Real Bed,$116.00,,"$3,295.00","$3,000.00",$200.00,1,$0.00,30,365,27,1,11/11/10,4/21/19,95,10,10,10,10,9,9,strict_14_with_grace_period
Pacific Heights,94109,Apartment,Private room,1,0,1,1,Real Bed,$55.00,,"$1,600.00",$0.00,$70.00,1,$0.00,30,365,123,3,11/4/10,8/24/19,93,10,9,10,10,10,9,moderate
Downtown/Civic Center,94109,Apartment,Entire home/apt,4,1,2,2,Real Bed,$187.00,,"$5,100.00",$0.00,$0.00,1,$0.00,3,365,88,8,11/29/10,9/1/19,96,10,10,10,10,9,10,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Entire home/apt,5,2,2,2,Real Bed,$200.00,"$3,100.00",,"$1,000.00",$100.00,4,$35.00,90,360,152,0,11/11/10,2/25/18,99,10,10,10,10,10,10,moderate
Bernal Heights,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$175.00,,,,,2,$10.00,30,90,215,3,11/11/10,8/31/19,92,10,9,10,9,9,9,strict_14_with_grace_period
Mission,94110,Apartment,Private room,1,1,1,1,Real Bed,$99.00,,"$2,600.00",$300.00,$100.00,1,$25.00,30,360,122,19,4/28/11,9/21/19,94,9,9,9,9,10,9,strict_14_with_grace_period
Noe Valley,94131,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$135.00,$950.00,"$3,700.00",$100.00,$75.00,2,$0.00,2,15,336,56,12/7/10,10/8/19,98,10,10,10,10,10,10,moderate
Russian Hill,94133,Condominium,Private room,4,2,1,1,Real Bed,$109.00,,"$3,300.00",$0.00,$40.00,1,$50.00,2,30,243,33,5/14/11,10/11/19,96,9,10,10,10,10,9,moderate
Bernal Heights,94110,Cottage,Private room,2,1,1,1,Futon,$150.00,,,$0.00,$120.00,2,$30.00,30,120,192,11,6/20/11,7/20/19,98,10,10,10,10,10,10,flexible
Outer Sunset,94122,House,Private room,2,1,1,1,Real Bed,$100.00,,"$3,000.00",,$200.00,2,$0.00,60,60,1,0,5/23/11,5/23/11,20,,,,2,,,strict_14_with_grace_period
Western Addition,94117,House,Entire home/apt,6,2,3,4,Real Bed,$475.00,,"$6,900.00",$800.00,$185.00,5,$30.00,4,180,201,1,12/24/10,9/27/19,97,10,10,10,10,10,9,strict_14_with_grace_period
Glen Park,94131,Apartment,Private room,2,1,1,1,Real Bed,$85.00,,,,$45.00,1,$45.00,2,28,36,1,2/11/15,3/8/19,97,10,10,10,10,10,10,moderate
Mission,94110,House,Entire home/apt,6,2.5,3,4,Real Bed,$950.00,"$5,200.00",,"$2,000.00",$150.00,1,$0.00,3,1125,55,3,7/18/11,9/28/19,96,10,10,10,10,10,9,flexible
Mission,94110,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$166.00,,,$145.00,$65.00,1,$0.00,2,29,365,61,12/18/10,10/2/19,94,10,10,10,10,10,9,strict_14_with_grace_period
Marina,94123,Apartment,Private room,2,2,1,1,Real Bed,$90.00,,"$2,700.00",$350.00,$75.00,1,$40.00,30,150,67,3,7/31/11,8/12/19,99,10,10,10,10,10,9,flexible
Inner Richmond,94121,Apartment,Entire home/apt,2,1,0,1,Real Bed,$95.00,"$1,050.00",,$500.00,$75.00,1,$15.00,30,360,97,0,7/26/11,9/30/18,83,9,9,10,9,9,8,strict_14_with_grace_period
Outer Richmond,94121,Apartment,Entire home/apt,6,2,3,4,Real Bed,$216.00,,"$5,000.00",,$205.00,4,$50.00,30,1125,12,0,5/29/11,2/18/18,96,9,10,10,10,9,9,super_strict_30
Inner Sunset,94122,Apartment,Entire home/apt,3,1,1,0,Real Bed,$90.00,$700.00,"$2,100.00",$500.00,$140.00,2,$10.00,30,120,44,0,1/2/11,4/4/17,79,8,8,9,10,9,8,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,2,1,1,1,Real Bed,$326.00,"$2,630.00","$9,282.00",$350.00,$180.00,2,$50.00,30,1125,36,1,4/23/11,8/30/19,99,10,10,10,10,10,9,strict_14_with_grace_period
Inner Richmond,94118,House,Entire home/apt,2,1,2,2,Real Bed,$80.00,,"$2,700.00",,$100.00,1,$20.00,30,365,52,2,5/15/11,4/12/19,98,10,10,10,10,10,9,moderate
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$46.00,,"$1,375.00",$150.00,$50.00,1,$15.00,30,1125,39,0,3/3/11,6/1/18,91,9,9,10,9,9,9,strict_14_with_grace_period
Excelsior,94112,House,Private room,2,1,1,1,Real Bed,$37.00,,"$1,175.00",$150.00,$35.00,1,$25.00,30,1125,27,1,5/11/11,8/12/19,82,8,8,9,9,8,8,strict_14_with_grace_period
Seacliff,94121,Apartment,Entire home/apt,4,2,3,3,Real Bed,$185.00,,"$5,000.00",$0.00,$255.00,4,$50.00,30,365,7,0,10/11/11,1/14/18,93,9,8,9,9,9,8,super_strict_30
Bernal Heights,94110,Apartment,Entire home/apt,3,1,1,1,Real Bed,$108.00,,"$3,300.00",$500.00,,2,$0.00,30,180,10,0,3/25/12,8/20/16,98,10,10,10,10,10,10,strict_14_with_grace_period
